"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","tmax_mean_c","prec_mean_annual","elevation","NDVI"
18,"Libellula depressa",46.72637,9.69549,"2023-06-21","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",11,3.14166666666671,144.0625,2384,0.549822222222222
18,"Libellula depressa",46.38752,7.99113,"2024-07-19","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",12,3.41875000000005,152.6875,2023,0.707733333333333
18,"Libellula depressa",46.51517,8.83947,"2023-06-25","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",13,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.38752,7.99113,"2024-07-19","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",14,3.41875000000005,152.6875,2023,0.707733333333333
18,"Libellula depressa",46.51517,8.83947,"2022-07-15","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",15,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.51517,8.83947,"2022-06-18","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",16,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.46572,9.16372,"2022-08-04","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",17,4.17291666666671,198.583333333333,2205,0.541216666666667
18,"Libellula depressa",46.34333,7.79584,"2024-05-17","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",18,3.69166666666672,120.5625,2178,0.551588888888889
18,"Libellula depressa",46.47543,8.31756,"2022-06-11","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",19,1.95833333333337,197.6875,2461,0.501211111111111
18,"Libellula depressa",46.47543,8.31756,"2023-08-18","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",20,1.95833333333337,197.6875,2461,0.501211111111111
18,"Libellula depressa",46.51517,8.83947,"2021-07-23","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",21,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.51517,8.83947,"2021-08-18","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",22,2.63333333333338,184.520833333333,2240,0.573122222222222
39,"Libellula depressa",46.51596,8.77433,"2024-07-11","gbif","Polar","Moist","Cropland","Mountains","Polar Moist",166,133,68,"Polar Moist Cropland on Mountains","#A68544",23,4.20208333333335,177.604166666667,2285,0.51455
39,"Libellula depressa",46.51596,8.77433,"2023-07-06","gbif","Polar","Moist","Cropland","Mountains","Polar Moist",166,133,68,"Polar Moist Cropland on Mountains","#A68544",24,4.20208333333335,177.604166666667,2285,0.51455
96,"Castor fiber",46.614825,7.102275,"2026-01-06","inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",25,13.9958333333334,92.8333333333333,674,0.514183333333333
96,"Libellula depressa",46.184635,8.068809,"2024-07-09","gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",26,9.69375000000002,123.125,1389,0.810038888888889
96,"Libellula depressa",46.427648,8.968663,"2021-08-20","gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",27,15.29375,116.520833333333,424,0.782877777777778
96,"Castor fiber",46.614825,7.102275,"2026-01-06","gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",28,13.9958333333334,92.8333333333333,674,0.514183333333333
97,"Castor fiber",46.34284,6.95155,"2023-03-04","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",29,13.1354166666667,117.333333333333,809,0.876572222222222
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",30,12.6083333333333,127,838,0.823488888888889
97,"Libellula depressa",47.37112,8.72955,"2024-05-20","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",31,14.5354166666667,94.0416666666667,533,0.677327777777778
97,"Libellula depressa",46.099661,7.208175,"2024-07-10","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",32,9.70625000000001,106.395833333333,1522,0.812711111111111
97,"Libellula depressa",46.65666,6.75274,"2020-05-25","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",33,13.7166666666667,101.125,726,0.847061111111111
97,"Libellula depressa",47.24341,7.40561,"2021-06-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",34,12.5291666666667,103.145833333333,870,0.854166666666667
97,"Castor fiber",47.55364,8.46826,"2023-09-12","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",35,15.0083333333334,75.9583333333333,446,0.801655555555556
97,"Castor fiber",47.10811,7.1422,"2024-11-13","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",36,13.0000000000001,100.5,790,0.846544444444444
97,"Castor fiber",46.34284,6.95155,"2023-03-04","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",37,13.1354166666667,117.333333333333,809,0.876572222222222
97,"Libellula depressa",47.63576,9.13524,"2023-07-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",38,13.6979166666667,80.3333333333333,542,0.854561111111111
97,"Libellula depressa",46.292284,6.136714,"2021-06-26","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",39,15.8625,101.791666666667,443,0.818127777777778
97,"Libellula depressa",47.37378,8.46478,"2020-04-26","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",40,14.1958333333334,90.9166666666667,611,0.883211111111111
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",41,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",47.37253,8.59717,"2022-01-09","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",42,13.7125,100.75,689,0.88755
97,"Libellula depressa",47.51028,8.26829,"2024-06-25","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",43,14.3458333333334,90.25,556,0.790183333333333
97,"Libellula depressa",47.51301,7.67094,"2023-07-06","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",44,15.1104166666667,76.9791666666667,408,0.834283333333333
97,"Castor fiber",47.24262,7.86788,"2023-05-05","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",45,14.3395833333334,86.3125,502,0.697594444444445
97,"Libellula depressa",46.97107,6.68301,"2023-06-02","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",46,11.26875,114.916666666667,1060,0.807438888888889
97,"Castor fiber",46.88358,7.53703,"2022-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",47,14.7187500000001,86.2708333333333,529,0.790261111111111
97,"Castor fiber",47.41875,8.46565,"2022-01-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",48,14.325,82.8958333333333,542,0.889038888888889
97,"Libellula depressa",47.24133,8.13203,"2022-06-20","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",49,13.1291666666667,116.9375,698,0.819483333333333
97,"Castor fiber",47.46531,8.26759,"2025-04-11","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",50,14.5354166666667,85.875,552,0.851227777777778
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",51,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",47.28782,7.80215,"2025-03-11","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",52,14.7770833333334,77.2083333333333,489,0.857988888888889
97,"Castor fiber",46.70359,7.27519,"2024-12-03","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",53,9.07291666666669,125.5,1524,0.827877777777778
97,"Libellula depressa",46.92859,7.40581,"2021-08-13","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",54,14.0208333333334,86.7083333333333,643,0.841472222222222
97,"Libellula depressa",46.97149,6.74871,"2024-06-06","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",55,11.4416666666667,110.416666666667,1091,0.8158
97,"Libellula depressa",47.511656,9.247281,"2023-05-30","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",56,13.6166666666667,96.8541666666667,541,0.798205555555556
97,"Libellula depressa",47.41875,8.46565,"2021-06-01","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",57,14.325,82.8958333333333,542,0.889038888888889
97,"Castor fiber",47.14213,9.05366,"2023-01-03","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",58,14.7416666666667,131.145833333333,473,0.821733333333334
97,"Castor fiber",47.28782,7.80215,"2025-04-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",59,14.7770833333334,77.2083333333333,489,0.857988888888889
97,"Castor fiber",46.29854,7.73066,"2025-04-07","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",60,11.325,74.3958333333333,988,0.819555555555555
97,"Libellula depressa",47.10453,8.39375,"2024-07-05","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",61,13.3875,125.791666666667,649,0.886694444444445
97,"Libellula depressa",46.32982,9.22435,"2021-07-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",62,13.425,105.166666666667,859,0.831505555555556
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",63,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",64,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",47.51028,8.26829,"2023-01-07","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",65,14.3458333333334,90.25,556,0.790183333333333
97,"Castor fiber",47.19595,8.19743,"2022-01-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",66,13.7333333333333,118.208333333333,652,0.747716666666667
97,"Castor fiber",47.09717,9.05231,"2023-10-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",67,14.14375,130.666666666667,676,0.848794444444445
97,"Libellula depressa",46.68269,9.62828,"2023-06-20","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",68,10.44375,88.5,1425,0.554394444444444
97,"Castor fiber",46.7392,8.91073,"2023-02-23","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",69,6.23333333333335,130.083333333333,1956,0.799488888888889
97,"Libellula depressa",46.92859,7.40581,"2024-07-08","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",70,14.0208333333334,86.7083333333333,643,0.841472222222222
97,"Castor fiber",47.37253,8.59717,"2024-08-25","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",71,13.7125,100.75,689,0.88755
97,"Libellula depressa",46.92859,7.40581,"2021-05-28","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",72,14.0208333333334,86.7083333333333,643,0.841472222222222
97,"Castor fiber",47.10811,7.1422,"2024-05-13","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",73,13.0000000000001,100.5,790,0.846544444444444
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",74,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",46.29854,7.73066,"2025-04-25","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",75,11.325,74.3958333333333,988,0.819555555555555
97,"Castor fiber",46.20891,7.34147,"2025-08-06","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",76,15.5854166666667,70.5208333333333,702,0.816533333333333
97,"Castor fiber",47.439387,9.157022,"2025-03-23","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",77,13.8270833333333,103.520833333333,532,0.8395
97,"Libellula depressa",47.63576,9.13524,"2024-05-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",78,13.6979166666667,80.3333333333333,542,0.854561111111111
97,"Libellula depressa",47.028568,8.310288,"2025-05-10","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",79,14.5937500000001,109.8125,489,0.800355555555556
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",80,12.6083333333333,127,838,0.823488888888889
97,"Libellula depressa",47.41985,8.33314,"2022-05-10","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",81,13.9625,92.6875,672,0.7178
97,"Libellula depressa",46.97149,6.74871,"2024-06-28","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",82,11.4416666666667,110.416666666667,1091,0.8158
97,"Libellula depressa",47.63576,9.13524,"2023-05-26","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",83,13.6979166666667,80.3333333333333,542,0.854561111111111
97,"Libellula depressa",47.36873,8.92811,"2025-05-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",84,12.5375,125,816,0.868027777777778
97,"Castor fiber",47.28782,7.80215,"2025-04-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",85,14.7770833333334,77.2083333333333,489,0.857988888888889
97,"Libellula depressa",46.77621,9.43561,"2024-06-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",86,9.03541666666672,94.4375,1470,0.771188888888889
97,"Libellula depressa",46.662411,6.548271,"2025-05-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",87,14.9020833333334,82.375,464,0.783344444444444
97,"Libellula depressa",46.68269,9.62828,"2023-06-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",88,10.44375,88.5,1425,0.554394444444444
97,"Libellula depressa",46.97107,6.68301,"2022-05-20","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",89,11.26875,114.916666666667,1060,0.807438888888889
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",90,12.6083333333333,127,838,0.823488888888889
97,"Libellula depressa",47.37112,8.72955,"2023-07-10","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",91,14.5354166666667,94.0416666666667,533,0.677327777777778
97,"Libellula depressa",46.1839499439,8.6579619176,"2025-07-28","inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",92,12.0791666666667,149.229166666667,1265,0.872455555555556
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",93,12.6083333333333,127,838,0.823488888888889
97,"Libellula depressa",47.41453,8.86313,"2025-06-11","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",94,13.7770833333333,103.083333333333,672,0.865183333333334
97,"Castor fiber",47.46577,8.20127,"2022-01-15","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",95,15.0354166666667,81.0833333333333,429,0.878305555555556
97,"Libellula depressa",46.19956,8.89614,"2021-06-24","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",96,11.9291666666667,141.479166666667,1278,0.895916666666667
97,"Castor fiber",46.38781,6.95115,"2025-02-28","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",97,10.1520833333334,131,1172,0.883861111111111
97,"Libellula depressa",47.19708,7.99949,"2023-05-28","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",98,13.7208333333334,91.8333333333333,653,0.846761111111111
97,"Libellula depressa",46.51349,8.96975,"2025-06-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",99,5.13333333333338,147.166666666667,1913,0.826494444444445
97,"Libellula depressa",47.387512,8.576223,"2024-06-24","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",100,14.2979166666667,92.9791666666667,595,0.737666666666667
97,"Castor fiber",46.65817,7.79792,"2023-06-15","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",101,13.3791666666667,112.3125,636,0.869911111111111
97,"Libellula depressa",47.06181,6.81337,"2022-05-30","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",102,10.6875000000001,120.5,1222,0.768044444444444
97,"Libellula depressa",47.01748,6.94541,"2021-06-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",103,11.6,107.270833333333,919,0.880433333333333
97,"Castor fiber",46.52211,6.81961,"2023-03-18","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",104,12.6083333333333,127,838,0.823488888888889
97,"Castor fiber",47.46721,7.93601,"2023-08-04","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",105,13.9062500000001,96.9791666666667,594,0.884327777777778
97,"Libellula depressa",47.37537,8.26619,"2021-05-30","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",106,14.4416666666667,84.0416666666667,550,0.868094444444445
97,"Libellula depressa",46.83694,6.81599,"2020-05-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",107,15.325,81.1458333333333,443,0.818838888888889
97,"Libellula depressa",47.1521,6.87824,"2024-07-18","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",108,12.4104166666667,101.708333333333,912,0.794583333333333
97,"Libellula depressa",47.41875,8.46565,"2022-05-17","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",109,14.325,82.8958333333333,542,0.889038888888889
97,"Castor fiber",47.14213,9.05366,"2023-01-03","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",110,14.7416666666667,131.145833333333,473,0.821733333333334
97,"Libellula depressa",47.24133,8.13203,"2021-05-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",111,13.1291666666667,116.9375,698,0.819483333333333
97,"Libellula depressa",46.10877,8.9584,"2024-06-13","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",112,14.56875,150.5,759,0.908327777777778
97,"Libellula depressa",46.20816,7.01755,"2022-05-09","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",113,15.4958333333334,96.2291666666667,595,0.821077777777778
97,"Libellula depressa",46.92859,7.40581,"2024-07-27","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",114,14.0208333333334,86.7083333333333,643,0.841472222222222
97,"Castor fiber",47.41609,8.73064,"2022-01-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",115,14.4083333333334,97.7083333333333,571,0.860172222222222
